Name,Country,Sector,Industry
ALGS,Aligos Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALGT,Allegiant Travel Company Common Stock,United States,Consumer Discretionary,Air Freight/Delivery Services
ALHC,Alignment Healthcare Inc. Common Stock,United States,Health Care,Medical Specialities
ALIM,Alimera Sciences Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALKS,Alkermes plc Ordinary Shares,Ireland,Health Care,Biotechnology: Pharmaceutical Preparations
ALKT,Alkami Technology Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
ALLK,Allakos Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALLO,Allogene Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALLR,Allarity Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALLT,Allot Ltd. Ordinary Shares,Israel,Telecommunications,Computer Communications Equipment
ALMS,Alumis Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALNT,Allient Inc. Common Stock,United States,Industrials,Electrical Products
ALNY,Alnylam Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALOT,AstroNova Inc. Common Stock,United States,Technology,Computer peripheral equipment
ALPP,Alpine 4 Holdings Inc. Class A Common Stock,United States,Telecommunications,Telecommunications Equipment
ALRM,Alarm.com Holdings Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
ALRN,Aileron Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALRS,Alerus Financial Corporation Common Stock,United States,Finance,Major Banks
ALSA,Alpha Star Acquisition Corporation Ordinary Shares,United States,Finance,Blank Checks
ALSAU,Alpha Star Acquisition Corporation Units,United States,Finance,Blank Checks
ALT,Altimmune Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALTI,AlTi Global Inc. Class A Common Stock,United States,Finance,Investment Managers
ALTO,Alto Ingredients Inc. Common Stock,United States,Industrials,Major Chemicals
ALTR,Altair Engineering Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
ALTS,ALT5 Sigma Corporation Common Stock,United States,Consumer Discretionary,Home Furnishings
ALVO,Alvotech Ordinary Shares,Luxembourg,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALVOW,Alvotech Warrant,Luxembourg,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALVR,AlloVir Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ALXO,ALX Oncology Holdings Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ALZN,Alzamend Neuro Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AMAL,Amalgamated Financial Corp. Common Stock (DE),United States,Finance,Major Banks
AMAT,Applied Materials Inc. Common Stock,United States,Technology,Semiconductors
AMBA,Ambarella Inc. Ordinary Shares,United States,Technology,Semiconductors
AMCX,AMC Networks Inc. Class A Common Stock,United States,Telecommunications,Cable & Other Pay Television Services
AMD,Advanced Micro Devices Inc. Common Stock,United States,Technology,Semiconductors
AMED,Amedisys Inc Common Stock,United States,Health Care,Medical/Nursing Services
AMGN,Amgen Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AMIX,Autonomix Medical Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
AMKR,Amkor Technology Inc. Common Stock,United States,Technology,Semiconductors
AMLI,American Lithium Corp. Common Stock,Canada,Basic Materials,Metal Mining
AMLX,Amylyx Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AMPG,Amplitech Group Inc. Common Stock,United States,Telecommunications,Telecommunications Equipment
AMPH,Amphastar Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AMPL,Amplitude Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
AMRK,A-Mark Precious Metals Inc. Common Stock,United States,Industrials,Other Specialty Stores
AMRN,Amarin Corporation plc,Ireland,Health Care,Biotechnology: Pharmaceutical Preparations
AMRX,Amneal Pharmaceuticals Inc. Class A Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AMSC,American Superconductor Corporation Common Stock,United States,Consumer Discretionary,Metal Fabrications
AMSF,AMERISAFE Inc. Common Stock,United States,Finance,Property-Casualty Insurers
AMST,Amesite Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
AMSWA,American Software Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
AMTX,Aemetis Inc. (DE) Common Stock,United States,Industrials,Major Chemicals
AMWD,American Woodmark Corporation Common Stock,United States,Basic Materials,Forest Products
AMZN,Amazon.com Inc. Common Stock,United States,Consumer Discretionary,Catalog/Specialty Distribution
ANAB,AnaptysBio Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ANDE,Andersons Inc. (The) Common Stock,United States,Industrials,Farming/Seeds/Milling
ANEB,Anebulo Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ANGH,Anghami Inc. Ordinary Shares,United Arab Emirates,Consumer Discretionary,Telecommunications Equipment
ANGI,Angi Inc. Class A Common Stock,United States,Consumer Discretionary,Advertising
ANGO,AngioDynamics Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
ANIK,Anika Therapeutics Inc. Common Stock,United States,Health Care,Medical/Dental Instruments
ANIP,ANI Pharmaceuticals Inc.,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ANIX,Anixa Biosciences Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ANL,Adlai Nortye Ltd. American Depositary Shares,Cayman Islands,Health Care,Biotechnology: Pharmaceutical Preparations
ANNX,Annexon Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ANSC,Agriculture & Natural Solutions Acquisition Corporation Class A Ordinary Shares,United States,,
ANSS,ANSYS Inc. Common Stock,United States,Technology,Computer Software: Prepackaged Software
ANTE,AirNet Technology Inc. American Depositary Shares,China,Consumer Discretionary,Advertising
ANTX,AN2 Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ANY,Sphere 3D Corp. Common Shares,Canada,Finance,Finance: Consumer Services
AOGO,Arogo Capital Acquisition Corp. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
AOGOU,Arogo Capital Acquisition Corp. Unit,United States,Technology,Computer Software: Prepackaged Software
AOSL,Alpha and Omega Semiconductor Limited Common Shares,Bermuda,Technology,Semiconductors
AOUT,American Outdoor Brands Inc. Common Stock ,United States,Consumer Discretionary,Recreational Games/Products/Toys
APA,APA Corporation Common Stock,United States,Energy,Oil & Gas Production
APCX,AppTech Payments Corp. Common Stock,United States,Technology,Computer Software: Prepackaged Software
APCXW,AppTech Payments Corp. Warrant,United States,Technology,Computer Software: Prepackaged Software
APDN,Applied DNA Sciences Inc. Common Stock,United States,Consumer Discretionary,Other Consumer Services
APEI,American Public Education Inc. Common Stock,United States,Real Estate,Other Consumer Services
APGE,Apogee Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
API,Agora Inc. American Depositary Shares,China,Technology,Computer Software: Prepackaged Software
APLD,Applied Digital Corporation Common Stock,United States,Finance,Finance: Consumer Services
APLM,Apollomics Inc. Class A Ordinary Shares,United States,Health Care,Biotechnology: Pharmaceutical Preparations
APLS,Apellis Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
APLT,Applied Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
APM,Aptorum Group Limited Class A Ordinary Shares,Hong Kong,Health Care,Biotechnology: Pharmaceutical Preparations
APOG,Apogee Enterprises Inc. Common Stock,United States,Consumer Discretionary,Auto Parts:O.E.M.
APP,Applovin Corporation Class A Common Stock,United States,Technology,Computer Software: Programming Data Processing
APPF,AppFolio Inc. Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
APPN,Appian Corporation Class A Common Stock,United States,Technology,Computer Software: Prepackaged Software
APPS,Digital Turbine Inc. Common Stock,United States,Miscellaneous,Multi-Sector Companies
APRE,Aprea Therapeutics Inc. Common stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
APTO,Aptose Biosciences Inc. Common Shares,Canada,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
APVO,Aptevo Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
APWC,Asia Pacific Wire & Cable Corporation Ltd. Ordinary Shares (Bermuda),Taiwan,Industrials,Telecommunications Equipment
APXI,APx Acquisition Corp. I Class A Ordinary Share,Mexico,Finance,Blank Checks
APYX,Apyx Medical Corporation Common Stock,United States,Health Care,Medical/Dental Instruments
AQB,AquaBounty Technologies Inc. Common Stock,United States,Consumer Staples,Meat/Poultry/Fish
AQMS,Aqua Metals Inc. Common Stock,United States,Industrials,Metal Fabrications
AQST,Aquestive Therapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AQU,Aquaron Acquisition Corp. Common Stock,United States,Finance,Blank Checks
ARAY,Accuray Incorporated Common Stock,United States,Health Care,Medical/Dental Instruments
ARBB,ARB IOT Group Limited Ordinary Shares,Malaysia,Technology,EDP Services
ARBE,Arbe Robotics Ltd. Ordinary Shares,Israel,Technology,EDP Services
ARBEW,Arbe Robotics Ltd. Warrant,Israel,Technology,EDP Services
ARBK,Argo Blockchain plc American Depositary Shares,United Kingdom,Finance,Finance: Consumer Services
ARBKL,Argo Blockchain plc 8.75% Senior Notes due 2026,United Kingdom,Finance,Finance: Consumer Services
ARCB,ArcBest Corporation Common Stock,United States,Industrials,Trucking Freight/Courier Services
ARCC,Ares Capital Corporation Common Stock,United States,Finance,Finance: Consumer Services
ARCT,Arcturus Therapeutics Holdings Inc. Common Stock,Israel,Health Care,Biotechnology: Pharmaceutical Preparations
ARDX,Ardelyx Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
AREB,American Rebel Holdings Inc. Common Stock,United States,Industrials,Plastic Products
AREBW,American Rebel Holdings Inc. Warrants,United States,Industrials,Plastic Products
AREC,American Resources Corporation Class A Common Stock,United States,Energy,Coal Mining
ARGX,argenx SE American Depositary Shares,Netherlands,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARHS,Arhaus Inc. Class A Common Stock,United States,Consumer Discretionary,Other Specialty Stores
ARKO,ARKO Corp. Common Stock,United States,Consumer Staples,Food Chains
ARKOW,ARKO Corp. Warrant,United States,Consumer Staples,Food Chains
ARKR,Ark Restaurants Corp. Common Stock,United States,Consumer Discretionary,Restaurants
ARLP,Alliance Resource Partners L.P. Common Units representing Limited Partners Interests,United States,Energy,Coal Mining
ARM,Arm Holdings plc American Depositary Shares,United Kingdom,Technology,Semiconductors
AROW,Arrow Financial Corporation Common Stock,United States,Finance,Major Banks
ARQ,Arq Inc. Common Stock,United States,Industrials,Major Chemicals
ARQQ,Arqit Quantum Inc. Ordinary Shares,United Kingdom,Technology,Computer Software: Prepackaged Software
ARQQW,Arqit Quantum Inc. Warrants,United Kingdom,Technology,Computer Software: Prepackaged Software
ARQT,Arcutis Biotherapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ARRY,Array Technologies Inc. Common Stock,United States,Consumer Discretionary,Miscellaneous manufacturing industries
ARTL,Artelo Biosciences Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ARTNA,Artesian Resources Corporation Class A Common Stock,United States,Utilities,Water Supply
ARTV,Artiva Biotherapeutics Inc. Common Stock,United States,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ARTW,Art's-Way Manufacturing Co. Inc. Common Stock,United States,Industrials,Industrial Machinery/Components
ARVN,Arvinas Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
ASCB,A SPAC II Acquisition Corp. Ordinary Shares,Singapore,Finance,Blank Checks
ASCBU,A SPAC II Acquisition Corp. Unit,Singapore,Finance,Blank Checks
ASCBW,A SPAC II Acquisition Corp. Warrant,Singapore,Finance,Blank Checks
ASLE,AerSale Corporation Common Stock,United States,Consumer Discretionary,Industrial Specialties
ASMB,Assembly Biosciences Inc. Common Stock,United States,Health Care,Biotechnology: Pharmaceutical Preparations
